iter	MultiClass
191	0.9437368272
192	0.9433239636
193	0.9429487602
194	0.942293804
195	0.9419711644
196	0.9415697469
197	0.9411709351
198	0.9408366964
199	0.9404523487
200	0.9400936284
201	0.9396520507
202	0.9392618546
203	0.9386680781
204	0.9380737443
205	0.937629709
206	0.9373048863
207	0.9368664903
208	0.9365311012
209	0.9361857749
210	0.935790861
211	0.9354939316
212	0.9349845552
213	0.9345578972
214	0.9341952921
215	0.9338247673
216	0.9333533461
217	0.9330488978
218	0.9324493023
219	0.932039703
220	0.9317585462
221	0.9313972702
222	0.9311037398
223	0.9307818201
224	0.9304358708
225	0.9300740487
226	0.9297153429
227	0.9294259439
228	0.9291285034
229	0.9287928851
230	0.9284246618
231	0.928137081
232	0.9278230707
233	0.9275071598
234	0.9272253894
235	0.9266605782
236	0.9263620684
237	0.9259637706
238	0.9257178752
239	0.9252605158
240	0.9246842579
241	0.9243990626
242	0.924018692
243	0.9237397145
244	0.9232491868
245	0.9227515624
246	0.9225143789
247	0.9221180473
248	0.9217420537
249	0.9213499158
250	0.9210922309
251	0.9208150011
252	0.9204094521
253	0.9200341634
254	0.9197694558
255	0.9192521872
256	0.9188870553
257	0.9186228476
258	0.918412757
259	0.9180436966
260	0.9175810909
261	0.9174181618
262	0.9170911438
263	0.916657347
264	0.9163176502
265	0.9160045826
266	0.9157439605
267	0.9153604699
268	0.9150027648
269	0.9147686667
270	0.9144907989
271	0.9143068772
272	0.9139774589
273	0.9137541807
274	0.9135488938
275	0.9131192956
276	0.9126906831
277	0.91254125
278	0.912163406
279	0.9118926915
280	0.9116867844
281	0.9115635506
282	0.9112206024
283	0.9109299433
284	0.9106297173
285	0.9102232571
286	0.9100145338
287	0.9098834463
288	0.9096809855
289	0.9093499721
290	0.9089774513
291	0.9086725488
292	0.9082558599
293	0.9080102772
294	0.9078117895
295	0.9076450298
296	0.9073717025
297	0.9071221569
298	0.9068480392
299	0.9066594729
300	0.9064723494
301	0.9062884664
302	0.906087944
303	0.9059144885
304	0.9056828272
305	0.905386177
306	0.9052378371
307	0.9049762541
308	0.9046653085
309	0.9045197992
310	0.904189711
311	0.9038814655
312	0.9036202254
313	0.9033382425
314	0.9031576127
315	0.903028556
316	0.9027218684
317	0.9025278485
318	0.9023549185
319	0.9021288237
320	0.9019655749
321	0.9017978003
322	0.9016344857
323	0.9013637096
324	0.9011084203
325	0.9008525523
326	0.9006227485
327	0.9004707558
328	0.9003259989
329	0.9001693457
330	0.9000225756
331	0.8998778689
332	0.8995605174
333	0.8992220057
334	0.8991031223
335	0.8988182756
336	0.8985616663
337	0.8981872706
338	0.8980028712
339	0.8977944331
340	0.8975745741
341	0.8974351061
342	0.8973348033
343	0.897148256
344	0.89693842
345	0.8968001105
346	0.89657239
347	0.8964098888
348	0.8961681983
349	0.8960431196
350	0.8958784756
351	0.8956507338
352	0.8953670475
353	0.8952075134
354	0.8951006595
355	0.8948565961
356	0.8946228844
357	0.8942791462
358	0.8940764029
359	0.8938271593
360	0.8935696415
361	0.893386383
362	0.8930490007
363	0.8928379238
364	0.8926643919
365	0.8924637368
366	0.8921978688
367	0.8920339014
368	0.8918413069
369	0.891703773
370	0.8915229927
371	0.891368663
372	0.89116067
373	0.8909928977
374	0.8908691633
375	0.8907074145
376	0.8905038145
377	0.890370404
378	0.8902084373
379	0.8901367357
380	0.8900099919
381	0.8897224573
382	0.8894463756
383	0.8893546814
384	0.8892426596
385	0.8891149757
386	0.8888721014
387	0.8885603529
388	0.8883209126
389	0.8881823699
390	0.8880266253
391	0.8878882397
392	0.8877640616
393	0.8874705553
394	0.8872097645
395	0.8870089095
396	0.886864145
397	0.8866231967
398	0.8863992926
399	0.8862575418
400	0.8860698139
401	0.8859381657
402	0.8857277425
403	0.8854951194
404	0.8853611718
405	0.8852790628
406	0.8851682525
407	0.8849887255
408	0.8848649409
409	0.8847603568
410	0.8846240332
411	0.8844104905
412	0.8842092293
413	0.8840912045
414	0.8839628963
415	0.8837915688
416	0.8836868171
417	0.8835381799
418	0.8833972786
419	0.883232991
420	0.8830185767
421	0.8828583097
422	0.8827446155
423	0.8826596416
424	0.8825172235
425	0.8823559223
426	0.8822904772
427	0.8820583913
428	0.8819096373
429	0.8817396698
430	0.8816714177
431	0.8815219334
432	0.8813749674
433	0.8812838923
434	0.8811699946
435	0.8809879078
436	0.8808266693
437	0.8806646494
438	0.8805838378
439	0.8804961686
440	0.8802833223
441	0.880041797
442	0.8798722036
