iter	MultiClass
0	1.374371139
1	1.362972134
2	1.352151187
3	1.341808944
4	1.33192298
5	1.322674771
6	1.313795463
7	1.305156729
8	1.296939259
9	1.288988054
10	1.281307247
11	1.274016555
12	1.267034642
13	1.260257141
14	1.253678635
15	1.24735348
16	1.241253615
17	1.235503126
18	1.22984586
19	1.224426657
20	1.219135423
21	1.214056263
22	1.20917438
23	1.204419497
24	1.199549818
25	1.195138588
26	1.190833127
27	1.186319048
28	1.182219838
29	1.178308634
30	1.174412703
31	1.170431018
32	1.16665877
33	1.162805744
34	1.158094793
35	1.154209597
36	1.150692297
37	1.146323755
38	1.142063645
39	1.137890464
40	1.134747608
41	1.131911222
42	1.128002356
43	1.125007654
44	1.122312519
45	1.118529541
46	1.11522917
47	1.111782424
48	1.109106678
49	1.106679046
50	1.104048293
51	1.10102457
52	1.098219277
53	1.095214365
54	1.092556108
55	1.090230841
56	1.088051855
57	1.085525199
58	1.082890313
59	1.080512278
60	1.07839614
61	1.076347355
62	1.073700353
63	1.071062439
64	1.068417956
65	1.066435397
66	1.064405522
67	1.062429366
68	1.060584972
69	1.058777653
70	1.057024494
71	1.055105301
72	1.05343306
73	1.051817531
74	1.049940533
75	1.048363898
76	1.046717787
77	1.044699173
78	1.04291388
79	1.041335516
80	1.039658827
81	1.038247414
82	1.0367907
83	1.035018071
84	1.03349457
85	1.032149888
86	1.030438646
87	1.028792993
88	1.027525926
89	1.025931505
90	1.024743739
91	1.023341831
92	1.022102202
93	1.020900659
94	1.019658228
95	1.018162734
96	1.016855449
97	1.015795648
98	1.01465092
99	1.013516847
100	1.012237959
101	1.010921708
102	1.009370793
103	1.008267376
104	1.007332407
105	1.006485061
106	1.005392224
107	1.004278787
108	1.003024298
109	1.001994683
110	1.000710341
111	0.9997486906
112	0.9987679996
113	0.9977807876
114	0.996835986
115	0.9960494815
116	0.9949390385
117	0.9939704301
118	0.9930495491
119	0.9920697561
120	0.9911610611
121	0.9900183092
122	0.9892103042
123	0.988360791
124	0.9874445341
125	0.9866278885
126	0.9858688406
127	0.9848985056
128	0.9838539348
129	0.9830845937
130	0.9821682035
131	0.9815138477
132	0.9805809423
133	0.9799399533
134	0.9787509085
135	0.9780959675
136	0.9773381282
137	0.976521033
138	0.9759117582
139	0.9753148284
140	0.9747919062
141	0.9740901045
142	0.97337092
143	0.9726805545
144	0.9721040934
145	0.9714634991
146	0.9707998179
147	0.9702342425
148	0.9695467863
149	0.9689332848
150	0.9678646453
151	0.9672256331
152	0.9665117813
153	0.9659599406
154	0.965275409
155	0.9646326332
156	0.9640202831
157	0.9635135952
158	0.9629948093
159	0.9621211393
160	0.9616282379
161	0.9610830808
162	0.9607250444
163	0.9602078553
164	0.959579942
165	0.9587983743
166	0.9583355835
167	0.9574310813
168	0.9567895946
169	0.9562855859
170	0.9556780635
171	0.9551102182
172	0.9546791792
173	0.954231714
174	0.9534129539
175	0.9528992589
176	0.9523946504
177	0.951850759
178	0.9514405718
179	0.9507365138
180	0.9503027855
181	0.9494793153
182	0.9488592168
183	0.9484358455
184	0.9478017926
185	0.9470442191
186	0.9466362181
187	0.9461953724
188	0.9455073598
189	0.9448935858
190	0.9441908718
