,Balanced Accuracy,Macro Precision,Macro Recall,Macro F1,Weighted F1,MCC,ROC-AUC (OvR),ROC-AUC (OvO)
LightGBM,0.7027816310678917,0.39303711364990324,0.7027816310678917,0.4055494031890978,0.6677447405622615,0.3430872251105089,0.8586774891682813,0.8949015259675913
XGBoost,0.6893915683345376,0.3852194269968526,0.6893915683345376,0.39181469135192815,0.6571835022330159,0.32635524521787723,0.8499293403501648,0.8881858227142775
CatBoost,0.6336230657452587,0.3586583952603714,0.6336230657452587,0.3453348738963721,0.6065645283627733,0.2656140643414938,0.8048786167967322,0.8508495604170098
